index,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
1,Resort Hotel,0,203,2016,December,49,2,2,5,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,F,F,4,No Deposit,250.0,,0,Transient,66.8,0,0,Check-Out,2016-12-09,Christine Sanders,Sanders_Christine@outlook.com,530-703-7317,************5253
2,City Hotel,1,82,2015,July,29,16,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,0,Canceled,2015-07-16,Mr. Jason Cooper,Mr._C63@verizon.com,897-631-4121,************3136
3,City Hotel,0,25,2016,December,53,27,0,3,3,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,K,2,No Deposit,220.0,,0,Transient-Party,60.0,0,1,Check-Out,2016-12-30,Jonathan Goodwin Jr.,JonathanJr.@comcast.net,341-353-2913,************7754
4,City Hotel,0,1,2016,March,11,9,0,1,1,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,95.0,0,0,Check-Out,2016-03-10,Brandon Harrell,Brandon_Harrell12@yandex.com,360-134-7604,************5214
5,City Hotel,0,70,2017,April,16,16,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,0,Check-Out,2017-04-20,Tyler Todd,TTodd@gmail.com,698-685-4845,************4766
6,City Hotel,0,170,2017,April,17,27,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.5,0,0,Check-Out,2017-04-30,Alexandra King,AKing@zoho.com,235-332-9413,************6521
7,City Hotel,1,21,2016,March,10,4,0,1,1,0.0,0,BB,SVN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,85.0,0,0,Canceled,2016-02-26,Gary Morgan,Gary.Morgan39@zoho.com,181-668-8047,************3149
8,City Hotel,0,102,2015,October,42,16,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient-Party,109.0,0,0,Check-Out,2015-10-18,Michael Bowman,MBowman@mail.com,779-867-8171,************1204
9,Resort Hotel,0,55,2016,November,47,19,2,5,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,314.0,,0,Transient,67.44,0,0,Check-Out,2016-11-26,Andrew Harris,AndrewHarris35@gmail.com,497-904-5270,************1615
10,Resort Hotel,0,222,2015,September,38,14,1,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,68.0,,0,Transient,80.0,0,0,Check-Out,2015-09-16,Cory Li,Cory.Li77@mail.com,913-293-2068,************6357
11,Resort Hotel,0,120,2016,December,53,26,1,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,54.8,1,3,Check-Out,2016-12-30,Tony Bush,TBush@yahoo.com,405-557-4917,************1658
12,City Hotel,1,88,2017,February,7,17,0,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0,Canceled,2016-11-25,Joseph Li,Joseph.L74@yandex.com,627-884-3414,************2866
13,Resort Hotel,0,79,2015,December,52,24,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,,0,Transient,57.29,0,2,Check-Out,2015-12-31,Michael Bird,Michael_Bird@yandex.com,799-379-7243,************3262
14,City Hotel,0,41,2016,August,34,15,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,76.5,0,0,Check-Out,2016-08-18,Robin Cervantes,Robin_Cervantes41@gmail.com,665-433-7948,************7224
15,City Hotel,1,239,2015,October,42,17,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,2015-08-17,Susan Schmidt,Schmidt_Susan@yandex.com,631-615-3557,************7871
16,Resort Hotel,0,23,2017,April,16,20,0,2,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,99.0,1,0,Check-Out,2017-04-22,Travis Garcia,TravisGarcia14@xfinity.com,293-732-5812,************8608
17,Resort Hotel,0,34,2016,December,50,9,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,48.0,0,1,Check-Out,2016-12-10,Amanda Combs,Combs_Amanda@comcast.net,575-779-2404,************5926
18,City Hotel,1,38,2016,May,19,6,2,3,2,1.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,149.68,0,0,Canceled,2016-05-01,Emily Richard,EmilyRichard@outlook.com,908-561-0381,************2097
19,City Hotel,0,160,2017,July,28,15,2,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,78.35,0,1,Check-Out,2017-07-22,Kimberly Santiago,Kimberly.S18@mail.com,374-401-3653,************4128
20,Resort Hotel,0,32,2016,October,44,27,2,5,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,91.85,1,0,Check-Out,2016-11-03,Jill Mcdonald,Jill_Mcdonald20@att.com,247-865-4713,************7072
21,Resort Hotel,0,56,2016,March,14,29,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,58.0,1,1,Check-Out,2016-04-02,Nicholas Smith,NSmith93@verizon.com,456-789-1863,************1630
22,City Hotel,1,97,2015,October,41,5,1,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,140.0,0,0,Canceled,2015-07-03,Neil Fischer,Neil.Fischer63@yahoo.com,596-857-9819,************4329
23,Resort Hotel,0,85,2017,April,16,19,1,4,2,0.0,0,BB,USA,Direct,Direct,0,0,0,E,E,2,No Deposit,,,0,Transient-Party,74.6,0,1,Check-Out,2017-04-24,Adrienne Reed,Adrienne_Reed@gmail.com,321-211-6534,************9168
24,City Hotel,0,278,2017,July,30,26,0,4,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,165.6,0,2,Check-Out,2017-07-30,Dr. Dave Rios DVM,Dr..D@mail.com,247-822-3245,************6512
25,City Hotel,1,175,2016,August,33,10,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.45,0,0,Canceled,2016-03-01,Sarah Jones,Sarah.J@yandex.com,377-154-4073,************1205
26,City Hotel,1,26,2017,May,21,22,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,128.0,0,0,Canceled,2017-04-26,Jonathan Medina,Jonathan_M64@gmail.com,210-170-9594,************4843
27,City Hotel,1,360,2015,October,42,12,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01,Jean Lane,JLane@outlook.com,438-325-9455,************5833
